<><><><><><><><><><><><><><><><><><><><><><><><><><><><><><><>
Date: 01/01/20 Time: 22:32 Location: Raffles Hotel
64 bytes from 8.8.8.8: icmp_seq=80 ttl=55 time=17.007 ms
64 bytes from 8.8.8.8: icmp_seq=81 ttl=55 time=56.266 ms
64 bytes from 8.8.8.8: icmp_seq=82 ttl=55 time=19.741 ms
64 bytes from 8.8.8.8: icmp_seq=83 ttl=55 time=20.561 ms
64 bytes from 8.8.8.8: icmp_seq=84 ttl=55 time=17.293 ms
64 bytes from 8.8.8.8: icmp_seq=85 ttl=55 time=17.084 ms
64 bytes from 8.8.8.8: icmp_seq=86 ttl=55 time=17.060 ms
64 bytes from 8.8.8.8: icmp_seq=87 ttl=55 time=30.102 ms
64 bytes from 8.8.8.8: icmp_seq=88 ttl=55 time=17.022 ms
64 bytes from 8.8.8.8: icmp_seq=89 ttl=55 time=124.080 ms
64 bytes from 8.8.8.8: icmp_seq=90 ttl=55 time=99.861 ms
64 bytes from 8.8.8.8: icmp_seq=91 ttl=55 time=16.545 ms
64 bytes from 8.8.8.8: icmp_seq=92 ttl=55 time=192.955 ms
64 bytes from 8.8.8.8: icmp_seq=93 ttl=55 time=311.115 ms
64 bytes from 8.8.8.8: icmp_seq=94 ttl=55 time=18.136 ms
64 bytes from 8.8.8.8: icmp_seq=95 ttl=55 time=16.854 ms
64 bytes from 8.8.8.8: icmp_seq=96 ttl=55 time=16.770 ms
64 bytes from 8.8.8.8: icmp_seq=97 ttl=55 time=16.581 ms
64 bytes from 8.8.8.8: icmp_seq=98 ttl=55 time=16.699 ms
64 bytes from 8.8.8.8: icmp_seq=99 ttl=55 time=16.860 ms
64 bytes from 8.8.8.8: icmp_seq=100 ttl=55 time=34.356 ms
64 bytes from 8.8.8.8: icmp_seq=101 ttl=55 time=87.920 ms
64 bytes from 8.8.8.8: icmp_seq=102 ttl=55 time=139.033 ms
64 bytes from 8.8.8.8: icmp_seq=103 ttl=55 time=183.605 ms
64 bytes from 8.8.8.8: icmp_seq=104 ttl=55 time=217.859 ms
64 bytes from 8.8.8.8: icmp_seq=105 ttl=55 time=16.753 ms
64 bytes from 8.8.8.8: icmp_seq=106 ttl=55 time=21.576 ms
64 bytes from 8.8.8.8: icmp_seq=107 ttl=55 time=16.996 ms
64 bytes from 8.8.8.8: icmp_seq=108 ttl=55 time=17.048 ms
64 bytes from 8.8.8.8: icmp_seq=109 ttl=55 time=23.253 ms
64 bytes from 8.8.8.8: icmp_seq=110 ttl=55 time=23.521 ms
64 bytes from 8.8.8.8: icmp_seq=111 ttl=55 time=32.940 ms
64 bytes from 8.8.8.8: icmp_seq=112 ttl=55 time=21.414 ms
64 bytes from 8.8.8.8: icmp_seq=113 ttl=55 time=16.784 ms
64 bytes from 8.8.8.8: icmp_seq=114 ttl=55 time=16.783 ms
64 bytes from 8.8.8.8: icmp_seq=115 ttl=55 time=16.919 ms
64 bytes from 8.8.8.8: icmp_seq=116 ttl=55 time=21.985 ms
64 bytes from 8.8.8.8: icmp_seq=117 ttl=55 time=16.838 ms
64 bytes from 8.8.8.8: icmp_seq=118 ttl=55 time=17.024 ms
64 bytes from 8.8.8.8: icmp_seq=119 ttl=55 time=16.974 ms
64 bytes from 8.8.8.8: icmp_seq=120 ttl=55 time=17.287 ms
64 bytes from 8.8.8.8: icmp_seq=121 ttl=55 time=16.956 ms
64 bytes from 8.8.8.8: icmp_seq=122 ttl=55 time=16.666 ms
64 bytes from 8.8.8.8: icmp_seq=123 ttl=55 time=16.430 ms
64 bytes from 8.8.8.8: icmp_seq=124 ttl=55 time=17.063 ms
64 bytes from 8.8.8.8: icmp_seq=125 ttl=55 time=16.750 ms
64 bytes from 8.8.8.8: icmp_seq=126 ttl=55 time=18.563 ms
64 bytes from 8.8.8.8: icmp_seq=127 ttl=55 time=17.812 ms
64 bytes from 8.8.8.8: icmp_seq=128 ttl=55 time=28.478 ms
64 bytes from 8.8.8.8: icmp_seq=129 ttl=55 time=19.621 ms
64 bytes from 8.8.8.8: icmp_seq=130 ttl=55 time=18.556 ms
64 bytes from 8.8.8.8: icmp_seq=131 ttl=55 time=26.237 ms
64 bytes from 8.8.8.8: icmp_seq=132 ttl=55 time=18.005 ms
64 bytes from 8.8.8.8: icmp_seq=133 ttl=55 time=18.219 ms
64 bytes from 8.8.8.8: icmp_seq=134 ttl=55 time=18.384 ms
64 bytes from 8.8.8.8: icmp_seq=135 ttl=55 time=20.654 ms
64 bytes from 8.8.8.8: icmp_seq=136 ttl=55 time=26.388 ms
64 bytes from 8.8.8.8: icmp_seq=137 ttl=55 time=18.004 ms
